YEAR,DATE_,SITE,LATITUDE,LONGITUDE,MAX_DEPTH_M,SURVEYAREA,DENSITY
2015,2015-03-03 00:00:00,TUT-01522,-14.25584,-170.6055,14.62969,7.5,0
2015,2015-03-03 00:00:00,TUT-01525,-14.25476,-170.5589,12.80098,10,0
2015,2015-02-27 00:00:00,TUT-01526,-14.2465,-170.5796,15.23926,10,0
2015,2015-02-27 00:00:00,TUT-01535,-14.24886,-170.6713,14.02012,10,0
2015,2015-03-03 00:00:00,TUT-01551,-14.24987,-170.5623,15.54404,10,0.4
2015,2015-03-01 00:00:00,TUT-01623,-14.30099,-170.8181,14.3249,10,0
2015,2015-03-04 00:00:00,TUT-01628,-14.28881,-170.7807,15.84883,10,0
2015,2015-03-04 00:00:00,TUT-01646,-14.25176,-170.6971,17.37275,8.75,0
2015,2015-03-04 00:00:00,TUT-01654,-14.286,-170.7241,12.19141,12.5,0
2015,2015-03-29 00:00:00,TUT-01708,-14.2941,-170.5621,11.88662,10,0
2015,2015-02-28 00:00:00,TUT-01715,-14.29025,-170.5505,12.80098,10,0.1
2015,2015-02-28 00:00:00,TUT-01783,-14.28062,-170.5449,14.62969,9,0
2015,2015-03-28 00:00:00,TUT-01784,-14.28081,-170.5461,12.19141,10,0
2015,2015-03-29 00:00:00,TUT-01785,-14.27784,-170.545,17.37275,10,1
2015,2015-03-28 00:00:00,TUT-01795,-14.27577,-170.5465,17.67754,10,0.7
2015,2015-03-07 00:00:00,TUT-01854,-14.31619,-170.6503,15.54404,10,0
2015,2015-03-29 00:00:00,TUT-01855,-14.28335,-170.5627,14.02012,10,0.1
2015,2015-03-02 00:00:00,TUT-01858,-14.28371,-170.6284,15.84883,10,0.2
2015,2015-03-02 00:00:00,TUT-01871,-14.28818,-170.6412,23.16367,10,0
2015,2015-03-29 00:00:00,TUT-01872,-14.2862,-170.6001,15.54404,10,1.8
2015,2015-03-30 00:00:00,TUT-01878,-14.29355,-170.6533,17.06797,15,0.06666666666666667
2015,2015-03-07 00:00:00,TUT-01887,-14.32246,-170.6692,12.80098,10,0
2015,2015-03-02 00:00:00,TUT-01913,-14.27307,-170.5708,11.27705,8.5,0.11764705882352941
