Date,Site,Max_depth_ft,Max_depth_m,Lat,Long,ICRA_count,Transect_area,Survey_area,ICRA_density
2/7/2025,TUT-210,39,11.89,-14.301899,-170.679903,10,60,120,0.083333333
2/7/2025,TUT-211,45,13.72,-14.360358,-170.748776,1,60,120,0.008333333
2/7/2025,TUT-212,51,15.54,-14.338095,-170.793296,40,60,180,0.222222222
2/7/2025,TUT-213,33,10.06,-14.329327,-170.83181,106,60,120,0.883333333
2/8/2025,TUT-125,33,10.06,-14.349654,-170.788046,22,60,180,0.122222222
2/8/2025,TUT-138,58,17.68,-14.336215,-170.802999,0,60,180,0
2/8/2025,TUT-143,22,6.71,-14.365158,-170.761604,37,60,180,0.205555556
2/8/2025,TUT-168,31,9.45,-14.360877,-170.781335,215,60,180,1.194444444
2/8/2025,TUT-169,51,15.54,-14.330384,-170.812348,59,60,180,0.327777778
2/10/2025,TUT-062,56,17.07,-14.312694,-170.835819,0,60,180,0
2/10/2025,TUT-069,55,16.76,-14.291243,-170.792502,0,60,180,0
2/10/2025,TUT-102,47,14.32,-14.334349,-170.700307,0,60,180,0
2/10/2025,TUT-201,40,12.19,-14.297134,-170.811783,0,60,180,0
2/10/2025,TUT-202,40,12.19,-14.289603,-170.759634,0,60,180,0
2/11/2025,TUT-035,43,13.11,-14.256289,-170.605873,0,60,180,0
2/11/2025,TUT-041,42,12.8,-14.25037,-170.690159,0,60,180,0
2/11/2025,TUT-046,37,11.28,-14.260084,-170.704549,0,60,180,0
2/11/2025,TUT-053,50,15.24,-14.248415,-170.659327,0,60,180,0
2/11/2025,TUT-115,57,17.37,-14.273272,-170.570134,9,60,180,0.05
2/11/2025,TUT-203,36,10.97,-14.283693,-170.72293,0,60,180,0
2/12/2025,TUT-023,38,11.58,-14.255458,-170.623423,0,60,180,0
2/12/2025,TUT-052,35,10.67,-14.257004,-170.587948,1,60,180,0.005555556
2/12/2025,TUT-076,38,11.58,-14.283504,-170.631611,11,60,180,0.061111111
2/12/2025,TUT-109,41,12.5,-14.284747,-170.600404,607,60,180,3.372222222
2/12/2025,TUT-120,39,11.89,-14.293418,-170.65432,7,60,180,0.038888889
2/12/2025,TUT-204,32,9.75,-14.29099,-170.560818,5,60,180,0.027777778
2/13/2025,TUT-082,36,10.97,-14.273839,-170.6078,0,60,180,0
2/13/2025,TUT-095,42,12.8,-14.276917,-170.625248,4,60,180,0.022222222
2/13/2025,TUT-103,39,11.89,-14.292398,-170.675569,0,60,180,0
2/13/2025,TUT-104,41,12.5,-14.316648,-170.65397,0,60,180,0
2/13/2025,TUT-113,56,17.07,-14.323617,-170.67021,0,60,180,0
2/13/2025,TUT-205,48,14.63,-14.320028,-170.695249,0,60,180,0
2/14/2025,TUT-074,37,11.28,-14.360978,-170.736214,2,60,180,0.011111111
2/14/2025,TUT-091,40,12.19,-14.278903,-170.586065,54,60,180,0.3
2/14/2025,TUT-093,40,12.19,-14.337165,-170.711077,18,60,180,0.1
2/14/2025,TUT-206,49,14.93,-14.316944,-170.69317,0,60,180,0
2/14/2025,TUT-207,35,10.67,-14.303783,-170.683308,8,60,180,0.044444444
2/14/2025,TUT-208,47,14.32,-14.348332,-170.725342,1,60,180,0.005555556
3/12/2025,TUT-214,47,14.3256,-14.28309,-170.607,498,60,180,2.766666667
3/12/2025,TUT-215,44,13.4112,-14.243735,-170.669372,5,60,180,0.027777778
3/13/2025,TUT-066,46,14.0208,-14.2873,-170.739,0,60,180,0
3/13/2025,TUT-171,48,14.6304,-14.332425,-170.824373,207,60,180,1.15
3/14/2025,TUT-061,46,14.0208,-14.318564,-170.842093,0,60,180,0
3/14/2025,TUT-216,46,14.0208,-14.329052,-170.831801,89,60,180,0.494444444
3/15/2025,TUT-083,47,14.3256,-14.332102,-170.697197,0,60,180,0
3/15/2025,TUT-126,45,13.716,-14.336157,-170.796416,89,60,180,0.494444444
3/15/2025,TUT-139,39,11.8872,-14.352648,-170.787165,56,60,180,0.311111111
3/17/2025,TUT-025,53,16.1544,-14.251678,-170.698016,0,60,180,0
3/17/2025,TUT-030,39,11.8872,-14.237546,-170.673024,0,60,180,0
3/17/2025,TUT-058,47,14.3256,-14.276028,-170.724169,0,60,180,0
3/17/2025,TUT-060,46,14.0208,-14.264012,-170.713218,0,60,180,0
3/18/2025,TUT-086,51,15.5448,-14.27703,-170.611737,4,60,180,0.022222222
3/18/2025,TUT-157,51,15.5448,-14.274192,-170.619785,19,60,180,0.105555556
3/18/2025,TUT-219,46,14.0208,-14.28823,-170.639848,16,60,180,0.088888889
3/18/2025,TUT-220,42,12.8016,-14.300247,-170.681886,13,60,180,0.072222222
3/19/2025,TUT-221,45,13.716,-14.362476,-170.746348,0,60,180,0
3/19/2025,TUT-222,50,15.24,-14.363787,-170.772574,412,60,180,2.288888889
3/19/2025,TUT-223,41,12.4968,-14.35909,-170.785248,274,60,180,1.522222222
3/21/2025,TUT-098,53,16.1544,-14.314128,-170.652116,3,60,180,0.016666667
3/22/2025,TUT-026,51,15.5448,-14.250576,-170.6405,0,60,180,0
3/22/2025,TUT-077,57,17.3736,-14.304935,-170.596438,0,60,180,0
3/22/2025,TUT-144,42,12.8016,-14.24708,-170.581465,0,60,180,0
3/22/2025,TUT-224,57,17.3736,-14.249692,-170.630235,0,60,180,0
