DATE,SITE,HAB_TYPE,MAX_DEPTH_FT,MAX_DEPTH_M,LAT,LONG,AGLO_COUNT,ICRA_COUNT,TRANSECT_AREA,AGLO_PRES,ICRA_PRES,TRANSECTS_SURVEYED,SURVEY_AREA,AGLO_DEN,ICRA_DEN
2/7/2025,TUT-210,AGR,39,11.89,-14.301899,-170.679903,1,10,60,1,1,2,120,0.008333333,0.083333333
2/7/2025,TUT-211,AGR,45,13.72,-14.360358,-170.748776,3,1,60,1,1,2,120,0.025,0.008333333
2/7/2025,TUT-212,AGR,51,15.54,-14.338095,-170.793296,1,40,60,1,1,3,180,0.005555556,0.222222222
2/7/2025,TUT-213,AGR,33,10.06,-14.329327,-170.83181,2,106,60,1,1,2,120,0.016666667,0.883333333
2/8/2025,TUT-125,AGR,33,10.06,-14.349654,-170.788046,3,22,60,1,1,3,180,0.016666667,0.122222222
2/8/2025,TUT-138,AGR,58,17.68,-14.336215,-170.802999,0,0,60,0,0,3,180,0,0
2/8/2025,TUT-143,AGR,22,6.71,-14.365158,-170.761604,2,37,60,1,1,3,180,0.011111111,0.205555556
2/8/2025,TUT-168,AGR,31,9.45,-14.360877,-170.781335,2,215,60,1,1,3,180,0.011111111,1.194444444
2/8/2025,TUT-169,AGR,51,15.54,-14.330384,-170.812348,0,59,60,1,1,3,180,0,0.327777778
2/10/2025,TUT-062,ROB,56,17.07,-14.312694,-170.835819,3,0,60,1,0,3,180,0.016666667,0
2/10/2025,TUT-069,AGR,55,16.76,-14.291243,-170.792502,1,0,60,1,0,3,180,0.005555556,0
2/10/2025,TUT-102,AGR,47,14.32,-14.334349,-170.700307,1,0,60,1,0,3,180,0.005555556,0
2/10/2025,TUT-201,SAG,40,12.19,-14.297134,-170.811783,4,0,60,1,1,3,180,0.022222222,0
2/10/2025,TUT-202,AGR,40,12.19,-14.289603,-170.759634,1,0,60,1,1,3,180,0.005555556,0
2/11/2025,TUT-035,ROB,43,13.11,-14.256289,-170.605873,1,0,60,1,0,3,180,0.005555556,0
2/11/2025,TUT-041,AGR,42,12.8,-14.25037,-170.690159,1,0,60,1,0,3,180,0.005555556,0
2/11/2025,TUT-046,AGR,37,11.28,-14.260084,-170.704549,0,0,60,0,0,3,180,0,0
2/11/2025,TUT-053,AGR,50,15.24,-14.248415,-170.659327,6,0,60,1,0,3,180,0.033333333,0
2/11/2025,TUT-115,AGR,57,17.37,-14.273272,-170.570134,0,9,60,1,1,3,180,0,0.05
2/11/2025,TUT-203,AGR,36,10.97,-14.283693,-170.72293,1,0,60,1,0,3,180,0.005555556,0
2/12/2025,TUT-023,AGR,38,11.58,-14.255458,-170.623423,0,0,60,1,0,3,180,0,0
2/12/2025,TUT-052,ROB,35,10.67,-14.257004,-170.587948,0,1,60,1,1,3,180,0,0.005555556
2/12/2025,TUT-076,AGR,38,11.58,-14.283504,-170.631611,0,11,60,1,1,3,180,0,0.061111111
