DATE,SURVEYOR,CAMERA_NO,MAX_DEPTH_FT,SITE,AREA,AGLO_PRES,ICRA_PRES,AGLO_COUNT,ICRA_COUNT,ICRA_10M
2/7/2025,BH,1,43,TUT-210,60,Y,Y,1,7,NA
2/7/2025,ES,2,38,TUT-210,60,Y,Y,0,3,NA
2/7/2025,CSC,4,45,TUT-211,60,Y,Y,1,1,NA
2/7/2025,ES,2,45,TUT-211,60,Y,N,2,0,NA
2/7/2025,BH,1,49,TUT-212,60,N,Y,0,15,NA
2/7/2025,CSC,4,50,TUT-212,60,Y,Y,1,15,NA
2/7/2025,ES,2,50,TUT-212,60,N,Y,0,10,NA
2/7/2025,BH,1,21,TUT-213,60,Y,Y,1,32,NA
2/7/2025,CSC,4,31,TUT-213,60,Y,Y,1,74,NA
2/8/2025,CSC,1,35,TUT-125,60,Y,Y,3,4,NA
2/8/2025,ES,2,33,TUT-125,60,Y,Y,0,5,NA
2/8/2025,KT,3,31,TUT-125,60,Y,Y,0,13,NA
2/8/2025,BH,1,50,TUT-138,60,N,N,0,0,NA
2/8/2025,CSC,4,57,TUT-138,60,N,N,0,0,NA
2/8/2025,KT,3,57,TUT-138,60,N,N,0,0,NA
2/8/2025,BH,1,22,TUT-143,60,Y,Y,0,26,NA
2/8/2025,CSC,2,17,TUT-143,60,Y,Y,2,9,NA
2/8/2025,KT,3,27,TUT-143,60,Y,Y,0,2,NA
2/8/2025,BH,1,28,TUT-168,60,Y,Y,1,51,NA
2/8/2025,CSC,3,31,TUT-168,60,Y,Y,0,97,NA
2/8/2025,ES,2,34,TUT-168,60,Y,Y,1,67,NA
2/8/2025,BH,1,44,TUT-169,60,Y,Y,0,23,NA
2/8/2025,ES,2,50,TUT-169,60,Y,Y,0,18,NA
2/8/2025,KT,3,27,TUT-169,60,Y,Y,0,18,NA
2/10/2025,BH,2,50,TUT-062,60,N,N,0,0,NA
2/10/2025,CSC,4,53,TUT-062,60,Y,N,3,0,NA
2/10/2025,ES,1,56,TUT-062,60,Y,N,0,0,NA
2/10/2025,CSC,4,39,TUT-069,60,Y,N,1,0,NA
2/10/2025,ES,1,55,TUT-069,60,Y,N,0,0,NA
2/10/2025,KT,3,33,TUT-069,60,Y,N,0,0,NA
2/10/2025,BH,2,41,TUT-102,60,Y,N,0,0,NA
2/10/2025,ES,1,36,TUT-102,60,Y,N,0,0,NA
2/10/2025,KT,3,35,TUT-102,60,Y,N,1,0,NA
2/10/2025,BH,2,27,TUT-201,60,Y,Y,1,0,NA
2/10/2025,CSC,4,33,TUT-201,60,Y,Y,2,0,NA
2/10/2025,KT,3,30,TUT-201,60,Y,Y,1,0,NA
2/10/2025,BH,2,31,TUT-202,60,Y,N,0,0,NA
2/10/2025,CSC,4,31,TUT-202,60,Y,N,1,0,NA
2/10/2025,ES,1,40,TUT-202,60,Y,N,0,0,NA
2/11/2025,BH,1,41,TUT-035,60,N,N,0,0,NA
2/11/2025,CSC,4,42,TUT-035,60,Y,N,0,0,NA
2/11/2025,ES,2,47,TUT-035,60,Y,N,1,0,NA
2/11/2025,CSC,4,42,TUT-041,60,N,N,0,0,NA
2/11/2025,ES,2,47,TUT-041,60,Y,N,0,0,NA
2/11/2025,KT,3,30,TUT-041,60,Y,N,1,0,NA
2/11/2025,BH,1,38,TUT-046,60,N,N,0,0,NA
2/11/2025,ES,2,28,TUT-046,60,N,N,0,0,NA
2/11/2025,KT,3,30,TUT-046,60,N,N,0,0,NA
2/11/2025,BH,1,48,TUT-053,60,Y,N,2,0,NA
2/11/2025,CSC,4,42,TUT-053,60,Y,N,1,0,NA
2/11/2025,KT,3,32,TUT-053,60,Y,N,3,0,NA
2/11/2025,BH,1,51,TUT-115,60,Y,Y,0,0,NA
2/11/2025,CSC,4,57,TUT-115,60,N,Y,0,1,NA
2/11/2025,KT,3,35,TUT-115,60,Y,Y,0,8,NA
2/11/2025,BH,1,34,TUT-203,60,Y,N,1,0,NA
2/11/2025,CSC,4,33,TUT-203,60,N,N,0,0,NA
2/11/2025,ES,2,31,TUT-203,60,Y,N,0,0,NA
2/12/2025,CSC,4,38,TUT-023,60,N,N,0,0,NA
2/12/2025,ES,2,28,TUT-023,60,Y,N,0,0,NA
2/12/2025,KT,3,20,TUT-023,60,Y,N,0,0,NA
2/12/2025,BH,1,24,TUT-052,60,Y,N,0,0,NA
2/12/2025,CSC,4,31,TUT-052,60,N,Y,0,1,NA
2/12/2025,ES,2,27,TUT-052,60,N,N,0,0,NA
2/12/2025,BH,1,38,TUT-076,60,Y,Y,0,4,NA
2/12/2025,ES,2,32,TUT-076,60,Y,N,0,0,NA
2/12/2025,KT,3,25,TUT-076,60,Y,Y,0,7,NA
2/12/2025,BH,1,39,TUT-109,60,Y,Y,0,249,NA
2/12/2025,CSC,4,43,TUT-109,60,N,Y,0,287,NA
2/12/2025,KT,3,33,TUT-109,60,Y,Y,0,71,NA
2/12/2025,BH,1,21,TUT-120,60,N,Y,0,0,NA
2/12/2025,CSC,4,27,TUT-120,60,Y,Y,0,5,NA
2/12/2025,ES,2,39,TUT-120,60,Y,Y,0,2,NA
2/12/2025,CSC,4,28,TUT-204,60,Y,Y,0,0,NA
2/12/2025,ES,2,32,TUT-204,60,Y,Y,3,2,NA
2/12/2025,KT,3,25,TUT-204,60,Y,Y,0,3,NA
2/13/2025,CSC,4,36,TUT-082,60,N,N,0,0,NA
2/13/2025,ES,2,20,TUT-082,60,Y,N,0,0,NA
2/13/2025,KT,3,25,TUT-082,60,Y,N,0,0,NA
2/13/2025,BH,1,39,TUT-095,60,N,N,0,0,NA
2/13/2025,CSC,4,42,TUT-095,60,N,N,0,0,NA
2/13/2025,KT,3,25,TUT-095,60,N,Y,0,4,NA
2/13/2025,BH,1,26,TUT-103,60,Y,Y,2,0,NA
2/13/2025,CSC,4,30,TUT-103,60,N,N,0,0,NA
2/13/2025,ES,2,37,TUT-103,60,N,N,0,0,NA
2/13/2025,BH,1,39,TUT-104,60,Y,Y,3,0,NA
2/13/2025,ES,2,36,TUT-104,60,Y,Y,0,0,NA
2/13/2025,KT,3,35,TUT-104,60,Y,N,1,0,NA
2/13/2025,BH,1,51,TUT-113,60,Y,Y,3,0,NA
2/13/2025,CSC,4,55,TUT-113,60,Y,N,2,0,NA
2/13/2025,ES,2,50,TUT-113,60,Y,N,1,0,NA
2/13/2025,BH,1,42,TUT-205,60,Y,N,0,0,NA
2/13/2025,CSC,4,37,TUT-205,60,Y,N,1,0,NA
2/13/2025,KT,3,25,TUT-205,60,Y,N,1,0,NA
2/14/2025,BH,1,37,TUT-074,60,Y,Y,4,0,NA
2/14/2025,CSC,4,43,TUT-074,60,Y,Y,1,2,NA
2/14/2025,KT,3,34,TUT-074,60,Y,Y,2,0,NA
2/14/2025,BH,1,40,TUT-091,60,Y,Y,0,18,NA
2/14/2025,ES,2,33,TUT-091,60,Y,Y,1,17,NA
2/14/2025,KT,3,25,TUT-091,60,Y,Y,0,19,NA
2/14/2025,BH,1,28,TUT-093,60,Y,Y,3,9,NA
2/14/2025,CSC,4,40,TUT-093,60,Y,Y,3,4,NA
2/14/2025,ES,2,31,TUT-093,60,Y,Y,2,5,NA
2/14/2025,CSC,4,40,TUT-206,60,Y,N,1,0,NA
2/14/2025,ES,2,49,TUT-206,60,Y,Y,1,0,NA
2/14/2025,KT,3,25,TUT-206,60,Y,N,1,0,NA
2/14/2025,BH,1,25,TUT-207,60,Y,Y,0,3,NA
2/14/2025,CSC,4,33,TUT-207,60,Y,Y,0,2,NA
2/14/2025,ES,2,20,TUT-207,60,Y,Y,2,3,NA
2/14/2025,BH,1,32,TUT-208,60,Y,Y,1,0,NA
2/14/2025,ES,2,48,TUT-208,60,Y,Y,1,1,NA
2/14/2025,KT,3,30,TUT-208,60,Y,Y,1,0,NA
3/12/2025,BH,1,47,TUT-214,60,Y,Y,2,117,36
3/12/2025,CSC,4,38,TUT-214,60,Y,Y,2,194,44
3/12/2025,KT,3,30,TUT-214,60,Y,Y,0,187,39
3/12/2025,BH,1,34,TUT-215,60,Y,Y,5,1,1
3/12/2025,ES,2,22,TUT-215,60,Y,Y,3,3,3
3/12/2025,KT,3,25,TUT-215,60,Y,Y,3,1,1
3/13/2025,ES,2,31,TUT-066,60,Y,N,2,0,0
3/13/2025,CSC,4,46,TUT-066,60,Y,N,0,0,0
3/13/2025,KT,1,25,TUT-066,60,Y,N,4,0,0
3/13/2025,ES,2,43,TUT-171,60,Y,Y,0,80,15
3/13/2025,BH,1,38,TUT-171,60,Y,Y,1,52,19
3/13/2025,CSC,4,36,TUT-171,60,Y,Y,1,75,25
3/14/2025,CSC,4,46,TUT-061,60,Y,N,0,0,0
3/14/2025,KT,3,30,TUT-061,60,Y,N,3,0,0
3/14/2025,ES,2,36,TUT-061,60,Y,N,3,0,0
3/14/2025,BH,1,41,TUT-216,60,Y,Y,2,24,10
3/14/2025,CSC,4,35,TUT-216,60,Y,Y,2,22,4
3/14/2025,KT,3,30,TUT-216,60,Y,Y,7,43,15
3/15/2025,BH,1,40,TUT-083,60,Y,N,2,0,0
3/15/2025,ES,2,36,TUT-083,60,Y,N,0,0,0
3/15/2025,KT,3,30,TUT-083,60,Y,N,1,0,0
3/15/2025,BH,1,40,TUT-126,60,Y,Y,0,20,6
3/15/2025,CSC,4,45,TUT-126,60,N,Y,0,43,13
3/15/2025,KT,3,42,TUT-126,60,Y,Y,0,26,10
3/15/2025,BH,1,39,TUT-139,60,Y,Y,1,26,8
3/15/2025,ES,2,38,TUT-139,60,Y,Y,2,15,8
3/15/2025,KT,3,30,TUT-139,60,Y,Y,1,15,4
3/17/2025,BH,1,52,TUT-025,60,Y,N,2,0,0
3/17/2025,CSC,4,49,TUT-025,60,Y,N,1,0,0
3/17/2025,KT,3,47,TUT-025,60,Y,N,1,0,0
3/17/2025,CSC,4,39,TUT-030,60,Y,N,4,0,0
3/17/2025,ES,2,35,TUT-030,60,Y,N,0,0,0
3/17/2025,KT,3,39,TUT-030,60,Y,N,2,0,9
3/17/2025,BH,1,47,TUT-058,60,Y,N,0,0,0
3/17/2025,CSC,4,34,TUT-058,60,Y,N,1,0,0
3/17/2025,ES,2,37,TUT-058,60,Y,N,1,0,0
3/17/2025,BH,1,35,TUT-060,60,Y,N,0,0,0
3/17/2025,ES,2,32,TUT-060,60,Y,N,1,0,0
3/17/2025,KT,3,46,TUT-060,60,Y,N,0,0,0
3/18/2025,BH,1,32,TUT-086,60,Y,Y,2,3,0
3/18/2025,ES,2,47,TUT-086,60,Y,Y,1,1,1
3/18/2025,KT,3,42,TUT-086,60,Y,Y,0,0,0
