"","Date","Surveyor","Camera_Number","MAX_depth_ft","Site","Area_surveyed_m2","AGLO_size_cm","AGLO_partial_mortality","ICRA_percent_partial_mortality","Notes","Sheet_Name","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","MAX_depth_m","Lat","Long","AGLO_pres","ICRA_pres","AGLO_count","ICRA_count"
"1",2025-02-07,"ES",2,38,"TUT-210",60,NA,NA,5,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5824,-14.301899,-170.679903,1,1,1,10
"2",2025-02-07,"ES",2,38,"TUT-210",60,NA,NA,10,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5824,-14.301899,-170.679903,1,1,1,10
"3",2025-02-07,"ES",2,38,"TUT-210",60,NA,NA,5,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5824,-14.301899,-170.679903,1,1,1,10
"4",2025-02-07,"ES",2,45,"TUT-211",60,55,1,NA,"No ICRA at site","ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.716,-14.360358,-170.748776,1,1,3,1
"5",2025-02-07,"ES",2,45,"TUT-211",60,22.5,5,NA,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.716,-14.360358,-170.748776,1,1,3,1
"6",2025-02-07,"ES",2,50,"TUT-212",60,NA,NA,15,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.24,-14.338095,-170.793296,1,1,1,40
"7",2025-02-07,"ES",2,50,"TUT-212",60,NA,NA,1,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.24,-14.338095,-170.793296,1,1,1,40
"8",2025-02-07,"ES",2,50,"TUT-212",60,NA,NA,5,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.24,-14.338095,-170.793296,1,1,1,40
"9",2025-02-07,"ES",2,50,"TUT-212",60,NA,NA,7,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.24,-14.338095,-170.793296,1,1,1,40
"10",2025-02-07,"ES",2,50,"TUT-212",60,NA,NA,2,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.24,-14.338095,-170.793296,1,1,1,40
