"","Site","AGLO_avg_PM","ICRA_avg_PM","AGLO_sd_PM","ICRA_sd_PM","AGLO_count","ICRA_count","Min_Depth_m","Max_Depth_m","Surveyors","Total_Area_surveyed_m2","AGLO_pres","ICRA_pres","Lat","Long","ICRA_density <- ICRA_count/Total_Area_surveyed_m2","AGLO_density <- AGLO_count/Total_Area_surveyed_m2","AGLO_CI_lower","AGLO_CI_upper","ICRA_CI_lower","ICRA_CI_upper"
"1","TUT-023",NA,NA,NA,NA,0,0,6.096,8.5344,2,120,1,0,-14.255458,-170.623423,0,0,NA,NA,NA,NA
"2","TUT-035",20,NA,NA,NA,1,0,14.3256,14.3256,1,60,1,0,-14.256289,-170.605873,0,0.0166666666666667,NA,NA,NA,NA
"3","TUT-041",30,NA,NA,NA,1,0,9.144,14.3256,2,120,1,0,-14.25037,-170.690159,0,0.00833333333333333,NA,NA,NA,NA
"4","TUT-046",NA,NA,NA,NA,0,0,8.5344,9.144,2,120,0,0,-14.260084,-170.704549,0,0,NA,NA,NA,NA
"5","TUT-052",NA,30,NA,NA,0,1,8.2296,9.4488,2,120,1,1,-14.257004,-170.587948,0.00833333333333333,0,NA,NA,NA,NA
"6","TUT-053",6.66666666666667,NA,10.3279555898864,NA,6,0,9.7536,14.6304,3,180,1,0,-14.248415,-170.659327,0,0.0333333333333333,-1.5974189519067,14.93075228524,NA,NA
"7","TUT-062",27.3333333333333,NA,29.6872587709498,NA,3,0,16.1544,17.0688,2,120,1,0,-14.312694,-170.835819,0,0.025,-6.26096247877011,60.9276291454368,NA,NA
"8","TUT-069",0,NA,NA,NA,1,0,10.0584,16.764,3,180,1,0,-14.291243,-170.792502,0,0.00555555555555556,NA,NA,NA,NA
"9","TUT-074",9.71428571428571,57.5,7.29644401322283,53.0330085889911,7,2,10.3632,13.1064,3,180,1,1,-14.360978,-170.736214,0.0111111111111111,0.0388888888888889,4.30900434633948,15.1195670822319,-16,131
"10","TUT-076",NA,22.5454545454545,NA,31.2069339614248,0,11,7.62,11.5824,3,180,1,1,-14.283504,-170.631611,0.0611111111111111,0,NA,NA,4.10333509249157,40.9875739984175
