"COLONYLENGTH","MAX_DEPTH_M","Area_surveyed_m2","SITE","PER_DEAD","LATITUDE","LONGITUDE","YEAR","TAIL_BINS","Bleaching_Period","Survey_Type"
NA,11.5824,60,"TUT-210",5,-14.301899,-170.679903,"2025",NA,"Post-Bleaching","60m"
NA,11.5824,60,"TUT-210",10,-14.301899,-170.679903,"2025",NA,"Post-Bleaching","60m"
NA,11.5824,60,"TUT-210",5,-14.301899,-170.679903,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-211",NA,-14.360358,-170.748776,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-211",NA,-14.360358,-170.748776,"2025",NA,"Post-Bleaching","60m"
NA,15.24,60,"TUT-212",15,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,15.24,60,"TUT-212",1,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,15.24,60,"TUT-212",5,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,15.24,60,"TUT-212",7,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,15.24,60,"TUT-212",2,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,15.24,60,"TUT-212",3,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,15.24,60,"TUT-212",0,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,15.24,60,"TUT-212",10,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,15.24,60,"TUT-212",55,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,15.24,60,"TUT-212",80,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,15.24,60,"TUT-169",85,-14.330384,-170.812348,"2025",NA,"Post-Bleaching","60m"
NA,15.24,60,"TUT-169",90,-14.330384,-170.812348,"2025",NA,"Post-Bleaching","60m"
NA,15.24,60,"TUT-169",5,-14.330384,-170.812348,"2025",NA,"Post-Bleaching","60m"
